date,region,channel,product,orders,revenue,cost
2026-01-07,Midwest,Retail,Enterprise,31,2216.5,1285.57
2026-01-07,Midwest,Partner,Starter,29,1167.25,677.01
2026-01-07,Midwest,Partner,Pro,31,1782.5,1033.85
2026-01-07,Midwest,Partner,Enterprise,33,2466.75,1430.72
2026-01-07,South,Online,Starter,27,992.25,605.27
2026-01-07,South,Online,Pro,29,1522.5,928.73
2026-01-07,South,Online,Enterprise,31,2115.75,1290.61
2026-01-07,South,Retail,Starter,29,1116.5,681.07
2026-01-07,South,Retail,Pro,31,1705.0,1040.05
2026-01-07,South,Retail,Enterprise,33,2359.5,1439.3
2026-01-07,South,Partner,Starter,31,1247.75,761.13
2026-01-07,South,Partner,Pro,33,1897.5,1157.48
2026-01-07,South,Partner,Enterprise,35,2616.25,1595.91
2026-01-07,West,Online,Starter,29,1065.75,682.08
2026-01-07,West,Online,Pro,31,1627.5,1041.6
2026-01-07,West,Online,Enterprise,33,2252.25,1441.44
2026-01-07,West,Retail,Starter,31,1193.5,763.84
2026-01-07,West,Retail,Pro,33,1815.0,1161.6
2026-01-07,West,Retail,Enterprise,35,2502.5,1601.6
2026-01-07,West,Partner,Starter,33,1328.25,850.08
2026-01-07,West,Partner,Pro,35,2012.5,1288.0
2026-01-07,West,Partner,Enterprise,37,2765.75,1770.08
2026-01-07,Northeast,Online,Starter,31,1139.25,763.3
2026-01-07,Northeast,Online,Pro,33,1732.5,1160.78
2026-01-07,Northeast,Online,Enterprise,35,2388.75,1600.46
2026-01-07,Northeast,Retail,Starter,33,1270.5,851.24
2026-01-07,Northeast,Retail,Pro,35,1925.0,1289.75
2026-01-07,Northeast,Retail,Enterprise,37,2645.5,1772.49
2026-01-07,Northeast,Partner,Starter,35,1408.75,943.86
2026-01-07,Northeast,Partner,Pro,37,2127.5,1425.43
2026-01-07,Northeast,Partner,Enterprise,39,2915.25,1953.22
2026-01-08,Midwest,Online,Starter,27,992.25,575.51
2026-01-08,Midwest,Online,Pro,29,1522.5,883.05
2026-01-08,Midwest,Online,Enterprise,31,2115.75,1227.14
2026-01-08,Midwest,Retail,Starter,29,1116.5,647.57
2026-01-08,Midwest,Retail,Pro,31,1705.0,988.9
2026-01-08,Midwest,Retail,Enterprise,33,2359.5,1368.51
2026-01-08,Midwest,Partner,Starter,31,1247.75,723.7
2026-01-08,Midwest,Partner,Pro,33,1897.5,1100.55
2026-01-08,Midwest,Partner,Enterprise,35,2616.25,1517.43
2026-01-08,South,Online,Starter,29,1065.75,650.11
2026-01-08,South,Online,Pro,31,1627.5,992.78
2026-01-08,South,Online,Enterprise,33,2252.25,1373.87
2026-01-08,South,Retail,Starter,31,1193.5,728.04
2026-01-08,South,Retail,Pro,33,1815.0,1107.15
2026-01-08,South,Retail,Enterprise,35,2502.5,1526.53
2026-01-08,South,Partner,Starter,33,1328.25,810.23
2026-01-08,South,Partner,Pro,35,2012.5,1227.63
2026-01-08,South,Partner,Enterprise,37,2765.75,1687.11
2026-01-08,West,Online,Starter,31,1139.25,729.12
2026-01-08,West,Online,Pro,33,1732.5,1108.8
2026-01-08,West,Online,Enterprise,35,2388.75,1528.8
2026-01-08,West,Retail,Starter,33,1270.5,813.12
2026-01-08,West,Retail,Pro,35,1925.0,1232.0
2026-01-08,West,Retail,Enterprise,37,2645.5,1693.12
2026-01-08,West,Partner,Starter,35,1408.75,901.6
2026-01-08,West,Partner,Pro,37,2127.5,1361.6
2026-01-08,West,Partner,Enterprise,39,2915.25,1865.76
2026-01-08,Northeast,Online,Starter,33,1212.75,812.54
2026-01-08,Northeast,Online,Pro,35,1837.5,1231.12
2026-01-08,Northeast,Online,Enterprise,37,2525.25,1691.92
2026-01-08,Northeast,Retail,Starter,35,1347.5,902.83
2026-01-08,Northeast,Retail,Pro,37,2035.0,1363.45
2026-01-08,Northeast,Retail,Enterprise,39,2788.5,1868.3
2026-01-08,Northeast,Partner,Starter,37,1489.25,997.8
2026-01-08,Northeast,Partner,Pro,39,2242.5,1502.48
2026-01-08,Northeast,Partner,Enterprise,41,3064.75,2053.38
2026-01-09,Midwest,Online,Starter,29,1065.75,618.14
2026-01-09,Midwest,Online,Pro,31,1627.5,943.95
2026-01-09,Midwest,Online,Enterprise,33,2252.25,1306.31
2026-01-09,Midwest,Retail,Starter,31,1193.5,692.23
2026-01-09,Midwest,Retail,Pro,33,1815.0,1052.7
2026-01-09,Midwest,Retail,Enterprise,35,2502.5,1451.45
2026-01-09,Midwest,Partner,Starter,33,1328.25,770.39
2026-01-09,Midwest,Partner,Pro,35,2012.5,1167.25
2026-01-09,Midwest,Partner,Enterprise,37,2765.75,1604.14
2026-01-09,South,Online,Starter,31,1139.25,694.94
2026-01-09,South,Online,Pro,33,1732.5,1056.83
2026-01-09,South,Online,Enterprise,35,2388.75,1457.14
2026-01-09,South,Retail,Starter,33,1270.5,775.01
2026-01-09,South,Retail,Pro,35,1925.0,1174.25
2026-01-09,South,Retail,Enterprise,37,2645.5,1613.76
2026-01-09,South,Partner,Starter,35,1408.75,859.34
2026-01-09,South,Partner,Pro,37,2127.5,1297.78
2026-01-09,South,Partner,Enterprise,39,2915.25,1778.3
2026-01-09,West,Online,Starter,33,1212.75,776.16
2026-01-09,West,Online,Pro,35,1837.5,1176.0
2026-01-09,West,Online,Enterprise,37,2525.25,1616.16
2026-01-09,West,Retail,Starter,35,1347.5,862.4
2026-01-09,West,Retail,Pro,37,2035.0,1302.4
2026-01-09,West,Retail,Enterprise,39,2788.5,1784.64
2026-01-09,West,Partner,Starter,37,1489.25,953.12
2026-01-09,West,Partner,Pro,39,2242.5,1435.2
2026-01-09,West,Partner,Enterprise,41,3064.75,1961.44
2026-01-09,Northeast,Online,Starter,35,1286.25,861.79
2026-01-09,Northeast,Online,Pro,37,1942.5,1301.48
2026-01-09,Northeast,Online,Enterprise,39,2661.75,1783.37
2026-01-09,Northeast,Retail,Starter,37,1424.5,954.42
2026-01-09,Northeast,Retail,Pro,39,2145.0,1437.15
2026-01-09,Northeast,Retail,Enterprise,41,2931.5,1964.11
2026-01-09,Northeast,Partner,Starter,39,1569.75,1051.73
2026-01-09,Northeast,Partner,Pro,41,2357.5,1579.53
2026-01-09,Northeast,Partner,Enterprise,43,3214.25,2153.55
2026-01-10,Midwest,Online,Starter,11,404.25,234.47
2026-01-10,Midwest,Online,Pro,13,682.5,395.85
2026-01-10,Midwest,Online,Enterprise,15,1023.75,593.78
2026-01-10,Midwest,Retail,Starter,13,500.5,290.29
2026-01-10,Midwest,Retail,Pro,15,825.0,478.5
2026-01-10,Midwest,Retail,Enterprise,17,1215.5,704.99
2026-01-10,Midwest,Partner,Starter,15,603.75,350.18
2026-01-10,Midwest,Partner,Pro,17,977.5,566.95
2026-01-10,Midwest,Partner,Enterprise,19,1420.25,823.75
2026-01-10,South,Online,Starter,13,477.75,291.43
2026-01-10,South,Online,Pro,15,787.5,480.38
2026-01-10,South,Online,Enterprise,17,1160.25,707.75
2026-01-10,South,Retail,Starter,15,577.5,352.28
2026-01-10,South,Retail,Pro,17,935.0,570.35
2026-01-10,South,Retail,Enterprise,19,1358.5,828.69
2026-01-10,South,Partner,Starter,17,684.25,417.39
2026-01-10,South,Partner,Pro,19,1092.5,666.43
2026-01-10,South,Partner,Enterprise,21,1569.75,957.55
2026-01-10,West,Online,Starter,15,551.25,352.8
2026-01-10,West,Online,Pro,17,892.5,571.2
2026-01-10,West,Online,Enterprise,19,1296.75,829.92
2026-01-10,West,Retail,Starter,17,654.5,418.88
2026-01-10,West,Retail,Pro,19,1045.0,668.8
2026-01-10,West,Retail,Enterprise,21,1501.5,960.96
2026-01-10,West,Partner,Starter,19,764.75,489.44
2026-01-10,West,Partner,Pro,21,1207.5,772.8
2026-01-10,West,Partner,Enterprise,23,1719.25,1100.32
2026-01-10,Northeast,Online,Starter,17,624.75,418.58
2026-01-10,Northeast,Online,Pro,19,997.5,668.33
2026-01-10,Northeast,Online,Enterprise,21,1433.25,960.28
2026-01-10,Northeast,Retail,Starter,19,731.5,490.11
2026-01-10,Northeast,Retail,Pro,21,1155.0,773.85
2026-01-10,Northeast,Retail,Enterprise,23,1644.5,1101.82
2026-01-10,Northeast,Partner,Starter,21,845.25,566.32
2026-01-10,Northeast,Partner,Pro,23,1322.5,886.08
2026-01-10,Northeast,Partner,Enterprise,25,1868.75,1252.06
2026-01-11,Midwest,Online,Starter,13,477.75,277.1
2026-01-11,Midwest,Online,Pro,15,787.5,456.75
2026-01-11,Midwest,Online,Enterprise,17,1160.25,672.95
2026-01-11,Midwest,Retail,Starter,15,577.5,334.95
2026-01-11,Midwest,Retail,Pro,17,935.0,542.3
2026-01-11,Midwest,Retail,Enterprise,19,1358.5,787.93
2026-01-11,Midwest,Partner,Starter,17,684.25,396.87
2026-01-11,Midwest,Partner,Pro,19,1092.5,633.65
2026-01-11,Midwest,Partner,Enterprise,21,1569.75,910.46
2026-01-11,South,Online,Starter,15,551.25,336.26
2026-01-11,South,Online,Pro,17,892.5,544.43
2026-01-11,South,Online,Enterprise,19,1296.75,791.02
2026-01-11,South,Retail,Starter,17,654.5,399.25
2026-01-11,South,Retail,Pro,19,1045.0,637.45
2026-01-11,South,Retail,Enterprise,21,1501.5,915.92
2026-01-11,South,Partner,Starter,19,764.75,466.5
2026-01-11,South,Partner,Pro,21,1207.5,736.58
2026-01-11,South,Partner,Enterprise,23,1719.25,1048.74
2026-01-11,West,Online,Starter,17,624.75,399.84
2026-01-11,West,Online,Pro,19,997.5,638.4
2026-01-11,West,Online,Enterprise,21,1433.25,917.28
2026-01-11,West,Retail,Starter,19,731.5,468.16
2026-01-11,West,Retail,Pro,21,1155.0,739.2
2026-01-11,West,Retail,Enterprise,23,1644.5,1052.48
2026-01-11,West,Partner,Starter,21,845.25,540.96
2026-01-11,West,Partner,Pro,23,1322.5,846.4
2026-01-11,West,Partner,Enterprise,25,1868.75,1196.0
2026-01-11,Northeast,Online,Starter,19,698.25,467.83
2026-01-11,Northeast,Online,Pro,21,1102.5,738.68
2026-01-11,Northeast,Online,Enterprise,23,1569.75,1051.73
2026-01-11,Northeast,Retail,Starter,21,808.5,541.7
2026-01-11,Northeast,Retail,Pro,23,1265.0,847.55
2026-01-11,Northeast,Retail,Enterprise,25,1787.5,1197.62
2026-01-11,Northeast,Partner,Starter,23,925.75,620.25
2026-01-11,Northeast,Partner,Pro,25,1437.5,963.13
2026-01-11,Northeast,Partner,Enterprise,27,2018.25,1352.23
2026-01-12,Midwest,Online,Starter,15,551.25,319.73
2026-01-12,Midwest,Online,Pro,17,892.5,517.65
2026-01-12,Midwest,Online,Enterprise,19,1296.75,752.12
2026-01-12,Midwest,Retail,Starter,17,654.5,379.61
2026-01-12,Midwest,Retail,Pro,19,1045.0,606.1
2026-01-12,Midwest,Retail,Enterprise,21,1501.5,870.87
2026-01-12,Midwest,Partner,Starter,19,764.75,443.56
2026-01-12,Midwest,Partner,Pro,21,1207.5,700.35
2026-01-12,Midwest,Partner,Enterprise,23,1719.25,997.17
2026-01-12,South,Online,Starter,17,624.75,381.1
2026-01-12,South,Online,Pro,19,997.5,608.48
2026-01-12,South,Online,Enterprise,21,1433.25,874.28
2026-01-12,South,Retail,Starter,19,731.5,446.22
2026-01-12,South,Retail,Pro,21,1155.0,704.55
2026-01-12,South,Retail,Enterprise,23,1644.5,1003.15
2026-01-12,South,Partner,Starter,21,845.25,515.6
2026-01-12,South,Partner,Pro,23,1322.5,806.73
2026-01-12,South,Partner,Enterprise,25,1868.75,1139.94
2026-01-12,West,Online,Starter,19,698.25,446.88
2026-01-12,West,Online,Pro,21,1102.5,705.6
2026-01-12,West,Online,Enterprise,23,1569.75,1004.64
2026-01-12,West,Retail,Starter,21,808.5,517.44
2026-01-12,West,Retail,Pro,23,1265.0,809.6
2026-01-12,West,Retail,Enterprise,25,1787.5,1144.0
2026-01-12,West,Partner,Starter,23,925.75,592.48
2026-01-12,West,Partner,Pro,25,1437.5,920.0
2026-01-12,West,Partner,Enterprise,27,2018.25,1291.68
2026-01-12,Northeast,Online,Starter,21,771.75,517.07
2026-01-12,Northeast,Online,Pro,23,1207.5,809.03
2026-01-12,Northeast,Online,Enterprise,25,1706.25,1143.19
2026-01-12,Northeast,Retail,Starter,23,885.5,593.29
2026-01-12,Northeast,Retail,Pro,25,1375.0,921.25
2026-01-12,Northeast,Retail,Enterprise,27,1930.5,1293.44
2026-01-12,Northeast,Partner,Starter,25,1006.25,674.19
2026-01-12,Northeast,Partner,Pro,27,1552.5,1040.17
2026-01-12,Northeast,Partner,Enterprise,29,2167.75,1452.39
2026-01-13,Midwest,Online,Starter,17,624.75,362.36
2026-01-13,Midwest,Online,Pro,19,997.5,578.55
2026-01-13,Midwest,Online,Enterprise,21,1433.25,831.29
2026-01-13,Midwest,Retail,Starter,19,731.5,424.27
2026-01-13,Midwest,Retail,Pro,21,1155.0,669.9
2026-01-13,Midwest,Retail,Enterprise,23,1644.5,953.81
2026-01-13,Midwest,Partner,Starter,21,845.25,490.25
2026-01-13,Midwest,Partner,Pro,23,1322.5,767.05
2026-01-13,Midwest,Partner,Enterprise,25,1868.75,1083.88
2026-01-13,South,Online,Starter,19,698.25,425.93
2026-01-13,South,Online,Pro,21,1102.5,672.53
2026-01-13,South,Online,Enterprise,23,1569.75,957.55
2026-01-13,South,Retail,Starter,21,808.5,493.19
2026-01-13,South,Retail,Pro,23,1265.0,771.65
2026-01-13,South,Retail,Enterprise,25,1787.5,1090.38
2026-01-13,South,Partner,Starter,23,925.75,564.71
2026-01-13,South,Partner,Pro,25,1437.5,876.88
2026-01-13,South,Partner,Enterprise,27,2018.25,1231.13
2026-01-13,West,Online,Starter,21,771.75,493.92
2026-01-13,West,Online,Pro,23,1207.5,772.8
2026-01-13,West,Online,Enterprise,25,1706.25,1092.0
2026-01-13,West,Retail,Starter,23,885.5,566.72
2026-01-13,West,Retail,Pro,25,1375.0,880.0
2026-01-13,West,Retail,Enterprise,27,1930.5,1235.52
2026-01-13,West,Partner,Starter,25,1006.25,644.0
2026-01-13,West,Partner,Pro,27,1552.5,993.6
2026-01-13,West,Partner,Enterprise,29,2167.75,1387.36
2026-01-13,Northeast,Online,Starter,23,845.25,566.32
2026-01-13,Northeast,Online,Pro,25,1312.5,879.38
2026-01-13,Northeast,Online,Enterprise,27,1842.75,1234.64
2026-01-13,Northeast,Retail,Starter,25,962.5,644.88
2026-01-13,Northeast,Retail,Pro,27,1485.0,994.95
2026-01-13,Northeast,Retail,Enterprise,29,2073.5,1389.25
2026-01-13,Northeast,Partner,Starter,27,1086.75,728.12
